family,symbol,role,register,address,value,#,confidence,basis
CH32V103,RCC_CFGR0_MCO,mask,RCC->CFGR0,0x40021004,117440512,#,reference,evt(device-header)
CH32V103,RCC_HPRE,mask,RCC->CFGR0,0x40021004,240,#,reference,evt(device-header)
CH32V103,RCC_HPRE_DIV1,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_HSEON,value,RCC->CTLR,0x40021000,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLMULL,mask,RCC->CFGR0,0x40021004,3932160,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLMULL12,value,RCC->CFGR0,0x40021004,2621440,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLMULL3,value,RCC->CFGR0,0x40021004,262144,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLMULL6,value,RCC->CFGR0,0x40021004,1048576,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLMULL7,value,RCC->CFGR0,0x40021004,1310720,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLMULL9,value,RCC->CFGR0,0x40021004,1835008,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLON,value,RCC->CTLR,0x40021000,16777216,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLRDY,poll,RCC->CTLR,0x40021000,33554432,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLSRC,mask,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLSRC_HSE,value,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLSRC_HSI_Div2,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PLLXTPRE,mask,RCC->CFGR0,0x40021004,131072,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PPRE1,mask,RCC->CFGR0,0x40021004,1792,#,reference,evt(device-header)
CH32V103,RCC_PPRE1_DIV1,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PPRE1_DIV2,value,RCC->CFGR0,0x40021004,1024,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_PPRE2,mask,RCC->CFGR0,0x40021004,14336,#,reference,evt(device-header)
CH32V103,RCC_PPRE2_DIV1,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_RTCSEL,mask,RCC->BDCTLR,0x40021020,768,#,reference,evt(device-header)
CH32V103,RCC_SW,mask,RCC->CFGR0,0x40021004,3,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_SWS,poll,RCC->CFGR0,0x40021004,12,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_SW_HSE,value,RCC->CFGR0,0x40021004,1,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_SW_PLL,value,RCC->CFGR0,0x40021004,2,#,reference,evt(device-header+system_ch32*.c)
CH32V205,EXTEN_LDO_TRIM,mask,DBGMCU->DR,,12288,#,reference,evt(device-header)
CH32V205,EXTEN_PLL_HSI_PRE,value,EXTEN->CTLR0,0x40023800,16,#,reference,evt(device-header+system_ch32*.c)
CH32V205,EXTEN_ULLDO_TRIM,mask,DBGMCU->DR,,1792,#,reference,evt(device-header)
CH32V205,FLASH_ACTLR_LATENCY,mask,FLASH->ACTLR,0x40022000,15,#,reference,evt(device-header)
CH32V205,FLASH_ACTLR_LATENCY_0,value,FLASH->ACTLR,0x40022000,0,#,reference,evt(device-header+system_ch32*.c)
CH32V205,FLASH_ACTLR_LATENCY_1,value,FLASH->ACTLR,0x40022000,1,#,reference,evt(device-header+system_ch32*.c)
CH32V205,FLASH_ACTLR_LATENCY_2,value,FLASH->ACTLR,0x40022000,2,#,reference,evt(device-header+system_ch32*.c)
CH32V205,FLASH_ACTLR_LATENCY_3,value,FLASH->ACTLR,0x40022000,3,#,reference,evt(device-header+system_ch32*.c)
CH32V205,FLASH_ACTLR_LATENCY_4,value,FLASH->ACTLR,0x40022000,4,#,reference,evt(device-header+system_ch32*.c)
CH32V205,RCC_ADCPRE,mask,RCC->CFGR0,0x40021004,49152,#,reference,evt(device-header)
CH32V205,RCC_ADCSRC,mask,RCC->CFGR2,0x4002102c,6291456,#,reference,evt(device-header)
CH32V205,RCC_CFGR0_MCO,mask,RCC->CFGR0,0x40021004,117440512,#,reference,evt(device-header)
CH32V205,RCC_HPRE,mask,RCC->CFGR0,0x40021004,240,#,reference,evt(device-header)
CH32V205,RCC_HPRE_DIV1,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V205,RCC_HSEON,value,RCC->CTLR,0x40021000,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V205,RCC_HSITRIM,mask,RCC->CTLR,0x40021000,248,#,reference,evt(device-header)
CH32V205,RCC_PLLMULL,mask,RCC->CFGR0,0x40021004,8126464,#,reference,evt(device-header+system_ch32*.c)
CH32V205,RCC_PLLMULL10,value,RCC->CFGR0,0x40021004,2097152,#,reference,evt(device-header+system_ch32*.c)
CH32V205,RCC_PLLMULL12,value,RCC->CFGR0,0x40021004,2621440,#,reference,evt(device-header+system_ch32*.c)
CH32V205,RCC_PLLMULL15,value,RCC->CFGR0,0x40021004,3407872,#,reference,evt(device-header+system_ch32*.c)
CH32V205,RCC_PLLMULL20,value,RCC->CFGR0,0x40021004,4718592,#,reference,evt(device-header+system_ch32*.c)
CH32V205,RCC_PLLMULL24,value,RCC->CFGR0,0x40021004,5767168,#,reference,evt(device-header+system_ch32*.c)
CH32V205,RCC_PLLMULL5,value,RCC->CFGR0,0x40021004,786432,#,reference,evt(device-header+system_ch32*.c)
CH32V205,RCC_PLLON,value,RCC->CTLR,0x40021000,16777216,#,reference,evt(device-header+system_ch32*.c)
CH32V205,RCC_PLLRDY,poll,RCC->CTLR,0x40021000,33554432,#,reference,evt(device-header+system_ch32*.c)
