family,peripheral,bus,register,offset,address,bit,mask,macro,#,confidence,basis
CH32V407,USART3,PB1,PB1PCENR,0x1c,0x4002101c,18,0x40000,RCC_PB1Periph_USART3,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,USART4,PB1,PB1PCENR,0x1c,0x4002101c,19,0x80000,RCC_PB1Periph_USART4,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,USART5,PB1,PB1PCENR,0x1c,0x4002101c,20,0x100000,RCC_PB1Periph_USART5,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,I2C1,PB1,PB1PCENR,0x1c,0x4002101c,21,0x200000,RCC_PB1Periph_I2C1,#,reference,evt(ch32v4x7_rcc.h+ch32v4x7.h)
CH32V407,CAN1,PB1,PB1PCENR,0x1c,0x4002101c,25,0x2000000,RCC_PB1Periph_CAN1,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,BKP,PB1,PB1PCENR,0x1c,0x4002101c,27,0x8000000,RCC_PB1Periph_BKP,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,PWR,PB1,PB1PCENR,0x1c,0x4002101c,28,0x10000000,RCC_PB1Periph_PWR,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,DAC,PB1,PB1PCENR,0x1c,0x4002101c,29,0x20000000,RCC_PB1Periph_DAC,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,AFIO,PB2,PB2PCENR,0x18,0x40021018,0,0x1,RCC_PB2Periph_AFIO,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,GPIOA,PB2,PB2PCENR,0x18,0x40021018,2,0x4,RCC_PB2Periph_GPIOA,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,GPIOB,PB2,PB2PCENR,0x18,0x40021018,3,0x8,RCC_PB2Periph_GPIOB,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,GPIOC,PB2,PB2PCENR,0x18,0x40021018,4,0x10,RCC_PB2Periph_GPIOC,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,GPIOD,PB2,PB2PCENR,0x18,0x40021018,5,0x20,RCC_PB2Periph_GPIOD,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,GPIOE,PB2,PB2PCENR,0x18,0x40021018,6,0x40,RCC_PB2Periph_GPIOE,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,ADC1,PB2,PB2PCENR,0x18,0x40021018,9,0x200,RCC_PB2Periph_ADC1,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,ADC2,PB2,PB2PCENR,0x18,0x40021018,10,0x400,RCC_PB2Periph_ADC2,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,TIM1,PB2,PB2PCENR,0x18,0x40021018,11,0x800,RCC_PB2Periph_TIM1,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,SPI1,PB2,PB2PCENR,0x18,0x40021018,12,0x1000,RCC_PB2Periph_SPI1,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,TIM8,PB2,PB2PCENR,0x18,0x40021018,13,0x2000,RCC_PB2Periph_TIM8,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,USART1,PB2,PB2PCENR,0x18,0x40021018,14,0x4000,RCC_PB2Periph_USART1,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32X035,DMA1,AHB,AHBPCENR,0x14,0x40021014,0,0x1,RCC_AHBPeriph_DMA1,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,SRAM,AHB,AHBPCENR,0x14,0x40021014,2,0x4,RCC_AHBPeriph_SRAM,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,USBFS,AHB,AHBPCENR,0x14,0x40021014,12,0x1000,RCC_AHBPeriph_USBFS,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,IO2W,AHB,AHBPCENR,0x14,0x40021014,13,0x2000,RCC_AHBPeriph_IO2W,#,reference,evt(ch32x035_rcc.h+ch32x035.h)
CH32X035,USBPD,AHB,AHBPCENR,0x14,0x40021014,17,0x20000,RCC_AHBPeriph_USBPD,#,reference,evt(ch32x035_rcc.h+ch32x035.h)
CH32X035,TIM2,APB1,APB1PCENR,0x1c,0x4002101c,0,0x1,RCC_APB1Periph_TIM2,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,TIM3,APB1,APB1PCENR,0x1c,0x4002101c,1,0x2,RCC_APB1Periph_TIM3,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,WWDG,APB1,APB1PCENR,0x1c,0x4002101c,11,0x800,RCC_APB1Periph_WWDG,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,USART2,APB1,APB1PCENR,0x1c,0x4002101c,17,0x20000,RCC_APB1Periph_USART2,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,USART3,APB1,APB1PCENR,0x1c,0x4002101c,18,0x40000,RCC_APB1Periph_USART3,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,USART4,APB1,APB1PCENR,0x1c,0x4002101c,19,0x80000,RCC_APB1Periph_USART4,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,I2C1,APB1,APB1PCENR,0x1c,0x4002101c,21,0x200000,RCC_APB1Periph_I2C1,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,PWR,APB1,APB1PCENR,0x1c,0x4002101c,28,0x10000000,RCC_APB1Periph_PWR,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,AFIO,APB2,APB2PCENR,0x18,0x40021018,0,0x1,RCC_APB2Periph_AFIO,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,GPIOA,APB2,APB2PCENR,0x18,0x40021018,2,0x4,RCC_APB2Periph_GPIOA,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,GPIOB,APB2,APB2PCENR,0x18,0x40021018,3,0x8,RCC_APB2Periph_GPIOB,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,GPIOC,APB2,APB2PCENR,0x18,0x40021018,4,0x10,RCC_APB2Periph_GPIOC,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,ADC1,APB2,APB2PCENR,0x18,0x40021018,9,0x200,RCC_APB2Periph_ADC1,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,TIM1,APB2,APB2PCENR,0x18,0x40021018,11,0x800,RCC_APB2Periph_TIM1,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,SPI1,APB2,APB2PCENR,0x18,0x40021018,12,0x1000,RCC_APB2Periph_SPI1,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,USART1,APB2,APB2PCENR,0x18,0x40021018,14,0x4000,RCC_APB2Periph_USART1,#,confirmed,evt(ch32x035_rcc.h+ch32x035.h)+rm(CH32X035RM.PDF)
CH32X315,TIM2,HB1,HB1PCENR,0x1c,0x4002101c,0,0x1,RCC_HB1Periph_TIM2,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,TIM3,HB1,HB1PCENR,0x1c,0x4002101c,1,0x2,RCC_HB1Periph_TIM3,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,TIM4,HB1,HB1PCENR,0x1c,0x4002101c,2,0x4,RCC_HB1Periph_TIM4,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,WWDG,HB1,HB1PCENR,0x1c,0x4002101c,11,0x800,RCC_HB1Periph_WWDG,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,SPI2,HB1,HB1PCENR,0x1c,0x4002101c,14,0x4000,RCC_HB1Periph_SPI2,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,SPI3,HB1,HB1PCENR,0x1c,0x4002101c,15,0x8000,RCC_HB1Periph_SPI3,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,USART2,HB1,HB1PCENR,0x1c,0x4002101c,17,0x20000,RCC_HB1Periph_USART2,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,USART3,HB1,HB1PCENR,0x1c,0x4002101c,18,0x40000,RCC_HB1Periph_USART3,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,USART4,HB1,HB1PCENR,0x1c,0x4002101c,19,0x80000,RCC_HB1Periph_USART4,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,I2C1,HB1,HB1PCENR,0x1c,0x4002101c,21,0x200000,RCC_HB1Periph_I2C1,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,I2C2,HB1,HB1PCENR,0x1c,0x4002101c,22,0x400000,RCC_HB1Periph_I2C2,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,PWR,HB1,HB1PCENR,0x1c,0x4002101c,28,0x10000000,RCC_HB1Periph_PWR,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,AFIO,HB2,HB2PCENR,0x18,0x40021018,0,0x1,RCC_HB2Periph_AFIO,#,confirmed,evt(ch32x3x5_rcc.h+ch32x3x5.h)+rm(CH32X315RM.PDF)
