family,register,type,member,field,define,kind,of_field,bits,mask,value,description,rm_access,rm_reset,#,confidence,basis
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,AWDEN,ADC_AWDEN,field,,23,0x800000,,Analog watchdog enable on regular channels,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,BUFFEN,ADC_BUFFEN,field,,26,0x4000000,,,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,AWD_OVFIE,ADC_AWD_OVFIE,field,,29,0x20000000,,,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,AWD_DNFIE,ADC_AWD_DNFIE,field,,30,0x40000000,,,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,MULT_CMPEN,ADC_MULT_CMPEN,field,,31,0x80000000,,,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR2,ADC,ADC.CTLR2,ADON,ADC_ADON,field,,0,0x1,,A/D Converter ON / OFF,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR2,ADC,ADC.CTLR2,CONT,ADC_CONT,field,,1,0x2,,Continuous Conversion,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR2,ADC,ADC.CTLR2,CAL,ADC_CAL,field,,2,0x4,,A/D Calibration,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR2,ADC,ADC.CTLR2,RSTCAL,ADC_RSTCAL,field,,3,0x8,,Reset Calibration,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR2,ADC,ADC.CTLR2,DMA,ADC_DMA,field,,8,0x100,,Direct Memory access mode,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR2,ADC,ADC.CTLR2,ALIGN,ADC_ALIGN,field,,10,0x400,,Data Alignment,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR2,ADC,ADC.CTLR2,JEXTSEL_0,ADC_JEXTSEL_0,value,JEXTSEL,11,0x800,1,Bit 0,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR2,ADC,ADC.CTLR2,JEXTSEL_1,ADC_JEXTSEL_1,value,JEXTSEL,12,0x1000,2,Bit 1,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR2,ADC,ADC.CTLR2,JEXTSEL_2,ADC_JEXTSEL_2,value,JEXTSEL,13,0x2000,4,Bit 2,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR2,ADC,ADC.CTLR2,JEXTSEL_3,ADC_JEXTSEL_3,value,JEXTSEL,14,0x4000,8,Bit 2,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR2,ADC,ADC.CTLR2,JEXTSEL,ADC_JEXTSEL,field,,14:11,0x7800,,JEXTSEL[3:0] bits (External event select for injected group),RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
