body_size,datasheet,family_dir,flash_bytes,gpio_count,package,package_ordering,packing,part_number,pin_count,pin_pitch,sram_bytes,temperature,body_size_confidence,flash_bytes_confidence,gpio_count_confidence,package_confidence,package_ordering_confidence,packing_confidence,pin_count_confidence,pin_pitch_confidence,sram_bytes_confidence,temperature_confidence
7*7mm,CH32V407DS0.PDF,CH32V407,524288,48,LQFP64,LQFP64,,CH32V467RET6,64,0.4mm,204800,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
14*14mm,CH32V407DS0.PDF,CH32V407,524288,76,LQFP100,LQFP100,,CH32V467VET6,100,0.5mm,204800,-40..85C,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,confirmed
8*8mm,CH32V407DS0.PDF,CH32V407,524288,54,QFN68,QFN68,,CH32V467WEU6,68,0.4mm,204800,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
4.4*6.5mm,CH32X035DS0.PDF,CH32X035,63488,18,TSSOP20,TSSOP20,,CH32X033F8P6,,0.65mm,20480,,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,missing
7*7mm,CH32X035DS0.PDF,CH32X035,63488,46,LQFP48,LQFP48,,CH32X035C8T6,,0.5mm,20480,,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,missing
2*2mm,CH32X035DS0.PDF,CH32X035,63488,11,QFN12,QFN12,,CH32X035D8U6,,0.4mm,20480,,zh-only,confirmed,confirmed,confirmed,zh-only,,missing,zh-only,confirmed,missing
4.4*6.5mm,CH32X035DS0.PDF,CH32X035,63488,18,TSSOP20,TSSOP20,,CH32X035F7P6,,0.65mm,20480,,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,missing
3*3mm,CH32X035DS0.PDF,CH32X035,63488,19,QFN20,QFN20,,CH32X035F8U6,,0.4mm,20480,,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,missing
3.9*9.9mm,CH32X035DS0.PDF,CH32X035,63488,26,QSOP28,QSOP28,,CH32X035G8R6,,0.635mm,20480,,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,missing
4*4mm,CH32X035DS0.PDF,CH32X035,63488,27,QFN28,QFN28,,CH32X035G8U6,,0.4mm,20480,,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,missing
10*10mm,CH32X035DS0.PDF,CH32X035,63488,60,LQFP64M,LQFP64M,,CH32X035R8T6,,0.5mm,20480,,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,missing
7*7mm,CH32X315DS0.PDF,CH32X315,491520,55,LQFP64,LQFP64,,CH32X305RCT6,64,0.4mm,65536,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
5*5mm,CH32X315DS0.PDF,CH32X315,491520,40,QFN48,QFN48,,CH32X315CCU6,48,0.35mm,65536,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
9*9mm,CH32X315DS0.PDF,CH32X315,491520,64,QFN76,QFN76,,CH32X315MCU6,76,0.4mm,65536,-40..85C,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,confirmed
7*7mm,CH32X315DS0.PDF,CH32X315,491520,59,QFN68X7,QFN68X7,,CH32X315WCU6,68,0.35mm,65536,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
