series,selector,register,bits,value,peripheral,role,signal,pad,port,gpio,#,confidence,basis
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT39,UHSIF_PORT39,PD4,D,4,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT4,UHSIF_PORT4,PE9,E,9,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT40,UHSIF_PORT40,PD5,D,5,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT41,UHSIF_PORT41,PD6,D,6,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT42,UHSIF_PORT42,PD7,D,7,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT43,UHSIF_PORT43,PF3,F,3,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT44,UHSIF_PORT44,PF4,F,4,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT45,UHSIF_PORT45,PF5,F,5,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT46,UHSIF_PORT46,PE0,E,0,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT47,UHSIF_PORT47,PE1,E,1,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT5,UHSIF_PORT5,PE10,E,10,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT6,UHSIF_PORT6,PE11,E,11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT7,UHSIF_PORT7,PE12,E,12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT8,UHSIF_PORT8,PE13,E,13,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT9,UHSIF_PORT9,PE14,E,14,#,reference,candidates(datasheet-pin-table-default:en)
